department,year,ubigeo,iddpto,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,cases_rate_60mas,hosp_rate_men5,hosp_rate_60mas,death_rate_men5,death_rate_60mas,inc_rate_men5,inc_rate_60mas
AYACUCHO,2013,50000,5,635560,436,294,151,230,11,25,68.60091887469318,46.258417773302284,23.758575114859337,36.18855812197118,1.7307571275725346,3.9335389263012144,68.6,46.26
AYACUCHO,2014,50000,5,639405,523,401,245,320,20,41,81.79479359717237,62.71455493779373,38.316872717604646,50.04652763115709,3.127907976947318,6.412211352742003,81.79,62.71
AYACUCHO,2015,50000,5,643250,600,270,285,221,7,0,93.27633113097552,41.97434900893899,44.30625728721337,34.35678196657598,1.0882238631947143,0.0,93.28,41.97
AYACUCHO,2016,50000,5,647095,258,262,121,224,6,53,39.87049814942165,40.48864540755222,18.698954558449685,34.61624645531182,0.9272208871958523,8.190451170230027,39.87,40.49
AYACUCHO,2017,50000,5,650940,409,330,165,231,8,38,62.8322118782069,50.69591667434787,25.347958337173935,35.487141672043506,1.22899191937813,5.837711617046118,62.83,50.7
AYACUCHO,2018,50000,5,659061,416,394,255,302,11,59,63.120105726177094,59.78202321181195,38.69141096195952,45.82276906083048,1.6690412571825672,8.95213037943377,63.12,59.78
AYACUCHO,2019,50000,5,664494,306,439,138,320,6,59,46.05007720160001,66.06530683497519,20.76768187523138,48.1569434787974,0.9029426902274513,8.87893645390327,46.05,66.07
AYACUCHO,2020,50000,5,668213,79,292,26,155,3,51,11.822577531415881,43.69864100219541,3.890974883757125,23.196196422398245,0.4489586404335144,7.632296887369746,11.82,43.7
AYACUCHO,2021,50000,5,669979,160,1972,71,1381,7,455,23.88134553471079,294.3375837153105,10.597347081027912,206.12586364647248,1.0448088671435969,67.9125763643338,23.88,294.34
AYACUCHO,2022,50000,5,670579,448,1190,295,931,4,163,66.80793761808825,177.4585842980469,43.99183392262508,138.83524536258963,0.5964994430186451,24.307352303009786,66.81,177.46
AYACUCHO,2023,50000,5,670377,549,596,359,427,9,100,81.89421773121691,88.9051981198639,53.55195658562271,63.69550267983537,1.3425281595281462,14.916979550312734,81.89,88.91
CAJAMARCA,2000,60000,6,1323808,6915,0,705,0,100,0,522.3567163818318,0.0,53.25545698469868,0.0,7.553965529744495,0.0,522.36,0.0
